Date,Susceptible,Cases,Hospital,Deaths,Home,ICU,Discharged,Recovered,Increased_Cases,Infected,Beta,Gamma,Recovered_SIR,Death_rate
26/10/2020,2266600,13350,180,1269,1288,13,301,10600,160,1481,"0,00000005630304216","0,1222147198",11869,10.69
25/10/2020,2266760,13190,190,1258,1333,5,114,10299,100,1528,"0,00000004619458694","0,2041884817",11557,10.89
24/10/2020,2266860,13090,187,1236,1297,5,77,10185,137,1489,"0,0000000296265174","0,09133646743",11421,10.82
23/10/2020,2266997,12953,176,1120,1234,5,160,10108,195,1415,"0,00000004270838823","0,1363957597",11228,9.98
22/10/2020,2267192,12758,189,1110,1230,5,118,9948,233,1424,"0,00000006039991419","0,1193820225",11058,10.04
21/10/2020,2267425,12525,170,1098,1171,5,165,9830,182,1346,"0,00000007634453081","0,09658246657",10928,10.05
20/10/2020,2267607,12343,178,1089,1121,11,144,9665,235,1310,"0,00000006126780245","0,1328244275",10754,10.13
19/10/2020,2267842,12108,172,1082,1130,10,99,9521,296,1312,"0,0000000789807463","0,1150914634",10603,10.2
18/10/2020,2268138,11812,171,1073,1020,8,103,9422,94,1199,"0,000000108843639","0,09007506255",10495,10.22
17/10/2020,2268232,11718,189,1068,1017,12,183,9319,116,1218,"0,00000003402460501","0,08866995074",10387,10.28
16/10/2020,2268348,11602,152,1064,1028,10,7,9136,115,1190,"0,0000000429735612","0,1571428571",10200,10.43
15/10/2020,2268463,11487,152,1059,855,10,120,9129,322,1017,"0,00000004984770721","0,01179941003",10188,10.39
14/10/2020,2268785,11165,148,1050,788,14,111,9009,197,950,"0,0000001493959844","0,1357894737",10059,10.44
13/10/2020,2268982,10968,158,1045,744,18,93,8898,209,920,"0,00000009437291031","0,1260869565",9943,10.51
12/10/2020,2269191,10759,154,1037,726,16,163,8805,203,896,"0,0000001027938717","0,1127232143",9842,10.54
11/10/2020,2269394,10556,155,1029,776,16,49,8642,74,947,"0,00000009445743685","0,1805702218",9671,10.64
10/10/2020,2269468,10482,152,1024,705,15,61,8593,184,872,"0,0000000373930742","0,0619266055",9617,10.65
09/10/2020,2269652,10298,149,1021,662,15,147,8532,62,826,"0,00000009814733296","0,07748184019",9553,10.69
08/10/2020,2269714,10236,133,1017,656,15,27,8385,133,804,"0,0000000339753942","0,1878109453",9402,10.82
07/10/2020,2269847,10103,135,1012,607,15,130,8358,119,757,"0,0000000774032466","0,04227212682",9370,10.8
06/10/2020,2269966,9984,145,1003,580,13,135,8228,113,738,"0,00000007103481394","0,1883468835",9231,10.87
05/10/2020,2270079,9871,138,999,658,12,82,8093,122,808,"0,00000006160643975","0,172029703",9092,10.99
04/10/2020,2270201,9749,129,991,694,12,81,8011,45,835,"0,000000064358964","0,1077844311",9002,11.01
03/10/2020,2270246,9704,146,985,681,17,52,7930,156,844,"0,00000002348535601","0,1030805687",8915,11.05
02/10/2020,2270402,9548,146,978,636,25,85,7878,9,807,"0,00000008514287346","0,07311028501",8856,11.04
01/10/2020,2270411,9539,146,971,613,24,59,7793,127,783,"0,000000005062630895","0,1174968072",8764,11.08
30/09/2020,2270538,9412,145,964,572,24,102,7734,117,741,"0,00000007548431847","0,08906882591",8698,11.08
29/09/2020,2270655,9295,163,954,559,22,149,7632,111,744,"0,00000006925669664","0,1505376344",8586,11.11
28/09/2020,2270766,9184,167,948,598,24,62,7483,132,789,"0,00000006195460503","0,1964512041",8431,11.24
27/09/2020,2270898,9052,161,939,587,29,73,7421,39,777,"0,00000007480924722","0,09137709138",8360,11.23
26/09/2020,2270937,9013,157,932,579,35,63,7348,45,771,"0,00000002227435529","0,1037613489",8280,11.26
25/09/2020,2270982,8968,166,929,373,30,21,7285,89,569,"0,00000003482463357","0,1159929701",8214,11.31
24/09/2020,2271071,8879,168,926,353,30,95,7264,93,551,"0,00000007112261171","0,04355716878",8190,11.31
23/09/2020,2271164,8786,169,920,406,28,85,7169,116,603,"0,00000006790740595","0,1674958541",8089,11.37
22/09/2020,2271280,8670,171,912,400,29,58,7084,107,600,"0,00000008512087164","0,155",7996,11.41
21/09/2020,2271387,8563,174,901,426,29,91,7026,119,629,"0,00000007489313259","0,1096979332",7927,11.37
20/09/2020,2271506,8444,174,893,428,30,68,6935,44,632,"0,00000008289264446","0,1566455696",7828,11.41
19/09/2020,2271550,8400,176,889,434,31,69,6867,58,641,"0,00000003021846128","0,112324493",7756,11.46
18/09/2020,2271608,8342,176,880,433,30,55,6798,75,639,"0,00000003995708025","0,1220657277",7678,11.46
17/09/2020,2271683,8267,182,873,453,30,54,6743,84,665,"0,0000000496468719","0,09323308271",7616,11.46
16/09/2020,2271767,8183,187,869,494,30,60,6689,32,711,"0,00000005200509556","0,08157524613",7558,11.5
15/09/2020,2271799,8151,202,863,402,29,94,6629,64,633,"0,0000000222523747","0,1042654028",7492,11.52
14/09/2020,2271863,8087,200,857,448,28,230,6535,114,676,"0,00000004167265201","0,1479289941",7392,11.59
13/09/2020,2271977,7973,198,847,641,27,104,6305,40,866,"0,00000005794060541","0,2771362587",7152,11.84
12/09/2020,2272017,7933,208,837,702,30,53,6201,35,940,"0,00000001872925752","0,1212765957",7038,11.89
11/09/2020,2272052,7898,207,830,623,27,46,6148,93,857,"0,00000001797500234","0,07001166861",6978,11.89
10/09/2020,2272145,7805,202,818,564,24,146,6102,67,790,"0,00000005181074227","0,07341772152",6920,11.82
09/09/2020,2272212,7738,227,804,638,22,109,5956,106,887,"0,00000003324316259","0,1803833145",6760,11.89
08/09/2020,2272318,7632,225,794,643,21,98,5847,112,889,"0,00000005247289139","0,1338582677",6641,11.96
07/09/2020,2272430,7520,229,787,658,31,61,5749,110,918,"0,00000005368893972","0,114379085",6536,12.04
06/09/2020,2272540,7410,222,770,695,30,114,5688,45,947,"0,00000005111297623","0,08236536431",6458,11.92
05/09/2020,2272585,7365,220,764,684,33,88,5574,57,937,"0,00000002113259291","0,1280683031",6338,12.05
04/09/2020,2272642,7308,225,752,676,35,47,5486,121,936,"0,00000002679587718","0,1068376068",6238,12.06
03/09/2020,2272763,7187,213,743,656,34,155,5439,111,903,"0,00000005895809865","0,06201550388",6182,12.02
02/09/2020,2272874,7076,206,735,674,33,76,5284,108,913,"0,00000005349052256","0,1785323111",6019,12.21
01/09/2020,2272982,6968,196,730,618,33,55,5208,157,847,"0,00000005609760868","0,09563164109",5938,12.29
31/08/2020,2273139,6811,194,728,544,33,65,5153,137,771,"0,00000008958169615","0,07392996109",5881,12.38
30/08/2020,2273276,6674,198,722,554,34,65,5088,60,786,"0,00000007667359989","0,0903307888",5810,12.43
29/08/2020,2273336,6614,196,711,544,40,41,5023,81,780,"0,00000003383709092","0,09743589744",5734,12.4
28/08/2020,2273417,6533,198,695,540,44,61,4982,99,782,"0,00000004556162053","0,07289002558",5677,12.24
27/08/2020,2273516,6434,183,682,484,40,75,4921,108,707,"0,00000006159107239","0,1046676096",5603,12.17
